TIMESTAMP,EST_ACT_Diff,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,USER_VENUE_DIST,DayOfWeek,user_coordinates,venue_coordinates,venue_postal_code,user_postal_code,source_of_order_pcode
2020-08-01 09:06:00,1,1,60.159,24.913,60.163,24.929,25,26,0.0,17.8,3.29756,0.0,0.9939674926148917,Saturday,"(60.159, 24.913)","(60.163, 24.929)",00180,00180,IN
2020-08-01 09:08:00,-1,1,60.189,24.963,60.194,24.95,30,29,0.0,17.8,3.29756,0.0,0.9113013705891582,Saturday,"(60.189, 24.963)","(60.194, 24.95)",00510,00500,OUT
2020-08-01 09:09:00,-2,4,60.183,24.919,60.173,24.923,34,32,0.0,17.8,3.29756,0.0,1.1360550286612807,Saturday,"(60.183, 24.919)","(60.173, 24.923)",00100,00250,OUT
2020-08-01 09:09:00,10,1,60.171,24.955,60.185,24.953,23,33,0.0,17.8,3.29756,0.0,1.5637588190888108,Saturday,"(60.171, 24.955)","(60.185, 24.953)",00530,00170,OUT
2020-08-01 09:11:00,-4,1,60.165,24.928,60.168,24.938,28,24,0.0,17.8,3.29756,0.0,0.6480432669581543,Saturday,"(60.165, 24.928)","(60.168, 24.938)",00100,00180,OUT
2020-08-01 09:14:00,-1,1,60.183,24.962,60.195,24.951,28,27,0.0,17.8,3.29756,0.0,1.4696911492891294,Saturday,"(60.183, 24.962)","(60.195, 24.951)",00510,00530,OUT
2020-08-01 09:15:00,9,1,60.185,24.916,60.171,24.919,30,39,0.0,17.8,3.29756,0.0,1.5686755181367924,Saturday,"(60.185, 24.916)","(60.171, 24.919)",00100,00250,OUT
2020-08-01 09:17:00,0,1,60.184,24.954,60.187,24.977,32,32,0.0,17.8,3.29756,0.0,1.3192530502753055,Saturday,"(60.184, 24.954)","(60.187, 24.977)",00580,00530,OUT
2020-08-01 09:19:00,2,1,60.176,24.923,60.168,24.938,28,30,0.0,17.8,3.29756,0.0,1.2197388153166873,Saturday,"(60.176, 24.923)","(60.168, 24.938)",00100,00100,IN
2020-08-01 09:21:00,10,5,60.168,24.964,60.168,24.976,32,42,0.0,17.8,3.29756,0.0,0.666202169501356,Saturday,"(60.168, 24.964)","(60.168, 24.976)",00160,00160,IN
2020-08-01 09:22:00,-1,1,60.16,24.951,60.163,24.945,24,23,0.0,17.8,3.29756,0.0,0.4719321345618783,Saturday,"(60.16, 24.951)","(60.163, 24.945)",00120,00140,OUT
2020-08-01 09:26:00,-1,1,60.155,24.915,60.167,24.938,37,36,0.0,17.8,3.29756,0.0,1.8489595337506837,Saturday,"(60.155, 24.915)","(60.167, 24.938)",00100,00220,OUT
2020-08-01 09:28:00,-16,1,60.187,24.955,60.198,24.93,38,22,0.0,17.8,3.29756,0.0,1.8508058466556627,Saturday,"(60.187, 24.955)","(60.198, 24.93)",00520,00500,OUT
2020-08-01 09:34:00,-15,1,60.185,24.912,60.169,24.93,37,22,0.0,17.8,3.29756,0.0,2.0434976719110374,Saturday,"(60.185, 24.912)","(60.169, 24.93)",00100,00250,OUT
2020-08-01 09:35:00,14,3,60.197,24.966,60.185,24.961,30,44,0.0,17.8,3.29756,0.0,1.3654588149892406,Saturday,"(60.197, 24.966)","(60.185, 24.961)",00500,00550,OUT
2020-08-01 09:37:00,-8,1,60.17,24.927,60.17,24.945,37,29,0.0,17.8,3.29756,0.0,0.9992425241343894,Saturday,"(60.17, 24.927)","(60.17, 24.945)",00100,00100,IN
2020-08-01 09:41:00,-5,2,60.187,24.968,60.169,24.935,47,42,0.0,17.8,3.29756,0.0,2.7159383876300827,Saturday,"(60.187, 24.968)","(60.169, 24.935)",00101,00500,OUT
2020-08-01 09:50:00,9,3,60.179,24.954,60.18,24.95,26,35,0.0,17.8,3.29756,0.0,0.24838043952513295,Saturday,"(60.179, 24.954)","(60.18, 24.95)",00530,00530,IN
2020-08-01 09:59:00,-10,4,60.174,24.957,60.169,24.929,37,27,0.0,17.8,3.29756,0.0,1.6511214459635517,Saturday,"(60.174, 24.957)","(60.169, 24.929)",00100,00170,OUT
2020-08-01 10:01:00,-10,1,60.157,24.921,60.169,24.932,37,27,0.0,17.8,3.15193,0.0,1.4698867638304045,Saturday,"(60.157, 24.921)","(60.169, 24.932)",00100,00220,OUT
2020-08-01 10:07:00,-7,1,60.162,24.935,60.168,24.935,29,22,0.0,17.8,3.15193,0.0,0.6684905223691545,Saturday,"(60.162, 24.935)","(60.168, 24.935)",00100,00120,OUT
2020-08-01 10:09:00,8,5,60.164,24.951,60.164,24.944,28,36,0.0,17.8,3.15193,0.0,0.38866516432237536,Saturday,"(60.164, 24.951)","(60.164, 24.944)",00120,00130,OUT
2020-08-01 10:13:00,11,4,60.168,24.957,60.165,24.948,30,41,0.0,17.8,3.15193,0.0,0.6011609195465288,Saturday,"(60.168, 24.957)","(60.165, 24.948)",00130,00170,OUT
2020-08-01 10:14:00,-6,1,60.161,24.939,60.163,24.942,24,18,0.0,17.8,3.15193,0.0,0.27821293871926495,Saturday,"(60.161, 24.939)","(60.163, 24.942)",00120,00150,OUT
2020-08-01 10:17:00,-2,2,60.195,24.945,60.194,24.956,24,22,0.0,17.8,3.15193,0.0,0.6202818524391096,Saturday,"(60.195, 24.945)","(60.194, 24.956)",00510,00510,IN
2020-08-01 10:18:00,5,3,60.158,24.935,60.169,24.935,34,39,0.0,17.8,3.15193,0.0,1.2255656781618987,Saturday,"(60.158, 24.935)","(60.169, 24.935)",00101,00150,OUT
2020-08-01 10:21:00,-6,1,60.167,24.949,60.169,24.941,28,22,0.0,17.8,3.15193,0.0,0.49689942081099925,Saturday,"(60.167, 24.949)","(60.169, 24.941)",00100,00130,OUT
2020-08-01 10:24:00,-3,4,60.175,24.928,60.166,24.929,30,27,0.0,17.8,3.15193,0.0,1.0042720672910828,Saturday,"(60.175, 24.928)","(60.166, 24.929)",00100,00100,IN
